file_names,satellite,year,month,total_rows,missing_values
1986/g05_xrs_1m_19860101_19860131.csv,goes05,1986,1,44640,617
1986/g05_xrs_1m_19860201_19860228.csv,goes05,1986,2,40320,203
1986/g05_xrs_1m_19860301_19860331.csv,goes05,1986,3,44640,2686
1986/g05_xrs_1m_19860401_19860430.csv,goes05,1986,4,43200,3646
1986/g05_xrs_1m_19860501_19860531.csv,goes05,1986,5,44640,517
1986/g05_xrs_1m_19860601_19860630.csv,goes05,1986,6,43200,324
1986/g05_xrs_1m_19860701_19860731.csv,goes05,1986,7,44640,1597
1986/g05_xrs_1m_19860801_19860831.csv,goes05,1986,8,44640,1344
1986/g05_xrs_1m_19860901_19860930.csv,goes05,1986,9,43200,2955
1986/g05_xrs_1m_19861001_19861031.csv,goes05,1986,10,44640,1646
1986/g05_xrs_1m_19861101_19861130.csv,goes05,1986,11,43200,148
1986/g05_xrs_1m_19861201_19861231.csv,goes05,1986,12,44640,141
1987/g06_xrs_1m_19870101_19870131.csv,goes06,1987,1,44640,673
1987/g06_xrs_1m_19870201_19870228.csv,goes06,1987,2,40320,929
1987/g06_xrs_1m_19870301_19870331.csv,goes06,1987,3,44640,3081
1987/g07_xrs_1m_19870401_19870430.csv,goes07,1987,4,43200,1364
1987/g07_xrs_1m_19870501_19870531.csv,goes07,1987,5,44640,343
1987/g07_xrs_1m_19870601_19870630.csv,goes07,1987,6,43200,82
1987/g07_xrs_1m_19870701_19870731.csv,goes07,1987,7,44640,156
1987/g07_xrs_1m_19870801_19870831.csv,goes07,1987,8,44640,137
1987/g06_xrs_1m_19870901_19870930.csv,goes06,1987,9,43200,2609
1987/g07_xrs_1m_19871001_19871031.csv,goes07,1987,10,44640,1372
1987/g07_xrs_1m_19871101_19871130.csv,goes07,1987,11,43200,59
1987/g07_xrs_1m_19871201_19871231.csv,goes07,1987,12,44640,91
1988/g07_xrs_1m_19880101_19880131.csv,goes07,1988,1,44640,51
1988/g07_xrs_1m_19880201_19880229.csv,goes07,1988,2,41760,518
1988/g07_xrs_1m_19880301_19880331.csv,goes07,1988,3,44640,2827
1988/g06_xrs_1m_19880401_19880430.csv,goes06,1988,4,43200,901
1988/g07_xrs_1m_19880501_19880531.csv,goes07,1988,5,44640,50
1988/g07_xrs_1m_19880601_19880630.csv,goes07,1988,6,43200,209
1988/g07_xrs_1m_19880701_19880731.csv,goes07,1988,7,44640,338
1988/g07_xrs_1m_19880801_19880831.csv,goes07,1988,8,44640,187
1988/g07_xrs_1m_19880901_19880930.csv,goes07,1988,9,43200,2534
1988/g07_xrs_1m_19881001_19881031.csv,goes07,1988,10,44640,1123
1988/g07_xrs_1m_19881101_19881130.csv,goes07,1988,11,43200,32
1988/g07_xrs_1m_19881201_19881231.csv,goes07,1988,12,44640,73
1989/g07_xrs_1m_19890101_19890131.csv,goes07,1989,1,44640,561
1989/g07_xrs_1m_19890201_19890228.csv,goes07,1989,2,40320,326
1989/g07_xrs_1m_19890301_19890331.csv,goes07,1989,3,44640,2798
1989/g06_xrs_1m_19890401_19890430.csv,goes06,1989,4,43200,584
1989/g07_xrs_1m_19890501_19890531.csv,goes07,1989,5,44640,49
1989/g07_xrs_1m_19890601_19890630.csv,goes07,1989,6,43200,34
1989/g07_xrs_1m_19890701_19890731.csv,goes07,1989,7,44640,112
1989/g07_xrs_1m_19890801_19890831.csv,goes07,1989,8,44640,192
1989/g07_xrs_1m_19890901_19890930.csv,goes07,1989,9,43200,2605
1989/g07_xrs_1m_19891001_19891031.csv,goes07,1989,10,44640,1374
1989/g07_xrs_1m_19891101_19891130.csv,goes07,1989,11,43200,57
1989/g07_xrs_1m_19891201_19891231.csv,goes07,1989,12,44640,67
1990/g07_xrs_1m_19900101_19900131.csv,goes07,1990,1,44640,325
1990/g07_xrs_1m_19900201_19900228.csv,goes07,1990,2,40320,401
1990/g07_xrs_1m_19900301_19900331.csv,goes07,1990,3,44640,2733
1990/g06_xrs_1m_19900401_19900430.csv,goes06,1990,4,43200,472
1990/g07_xrs_1m_19900501_19900531.csv,goes07,1990,5,44640,742
1990/g07_xrs_1m_19900601_19900630.csv,goes07,1990,6,43200,72
1990/g07_xrs_1m_19900701_19900731.csv,goes07,1990,7,44640,344
1990/g07_xrs_1m_19900801_19900831.csv,goes07,1990,8,44640,63
1990/g07_xrs_1m_19900901_19900930.csv,goes07,1990,9,43200,2400
1990/g07_xrs_1m_19901001_19901031.csv,goes07,1990,10,44640,1325
1990/g07_xrs_1m_19901101_19901130.csv,goes07,1990,11,43200,28
1990/g07_xrs_1m_19901201_19901231.csv,goes07,1990,12,44640,193
1991/g07_xrs_1m_19910101_19910131.csv,goes07,1991,1,44640,368
1991/g07_xrs_1m_19910201_19910228.csv,goes07,1991,2,40320,471
1991/g07_xrs_1m_19910301_19910331.csv,goes07,1991,3,44640,2735
1991/g06_xrs_1m_19910401_19910430.csv,goes06,1991,4,43200,427
1991/g06_xrs_1m_19910501_19910531.csv,goes06,1991,5,44640,69
1991/g07_xrs_1m_19910601_19910630.csv,goes07,1991,6,43200,28
1991/g07_xrs_1m_19910701_19910731.csv,goes07,1991,7,44640,551
1991/g07_xrs_1m_19910801_19910831.csv,goes07,1991,8,44640,56
1991/g07_xrs_1m_19910901_19910930.csv,goes07,1991,9,43200,2322
1991/g06_xrs_1m_19911001_19911031.csv,goes06,1991,10,44640,558
1991/g07_xrs_1m_19911101_19911130.csv,goes07,1991,11,43200,38
1991/g07_xrs_1m_19911201_19911231.csv,goes07,1991,12,44640,35
1992/g06_xrs_1m_19920101_19920131.csv,goes06,1992,1,44640,83
1992/g07_xrs_1m_19920201_19920229.csv,goes07,1992,2,41760,410
1992/g07_xrs_1m_19920301_19920331.csv,goes07,1992,3,44640,2648
1992/g06_xrs_1m_19920401_19920430.csv,goes06,1992,4,43200,149
1992/g07_xrs_1m_19920501_19920531.csv,goes07,1992,5,44640,101
1992/g07_xrs_1m_19920601_19920630.csv,goes07,1992,6,43200,80
1992/g07_xrs_1m_19920701_19920731.csv,goes07,1992,7,44640,35
